rank,part_number,description,qty_per_unit,unit_cost,scrap_rate,extended_cost,cum_cost_pct,abc_class,strategic_importance,cost_x_strategic_matrix,vave_priority,vave_lever,notes
1,__FILL__,__FILL__,1,0.00,0.00,0.00,0.00,A,high,A1-immediate,P0,2nd-source or should-cost,
2,__FILL__,__FILL__,1,0.00,0.00,0.00,0.00,A,med,A2-priority,P0,platform-consolidation,
3,__FILL__,__FILL__,1,0.00,0.00,0.00,0.00,A,high,A1-immediate,P0,should-cost + teardown,
,,,,,,,,
# Matrix legend (cost_x_strategic_matrix column):,
# A1-immediate = high cost + high strategic (do now, also derisk single-source),
# A2-priority  = high cost + low strategic  (best ROI, easy),
# B1-watch     = low cost + high strategic  (need 2nd source for safety),
# C2-platform  = low cost + low strategic   (merge via platform standardization),
#,
# vave_priority: P0 must / P1 should / P2 defer,
# vave_lever: 2nd-source / platform / DFMA-merge / should-cost / teardown / delete,
,,,,,,,,
# Required columns for input BOM (per cost_rollup.py):,
# part_number, description, qty_per_unit, unit_cost, scrap_rate,,
# strategic_importance (low/med/high), category,
# Optional: vendor, lead_time_weeks, single_source (yes/no),
